Loading required package: Rcpp
Loading required package: lattice
Loading required package: ggplot2
            macd  ma5         roc         rsi decision
175  5.615384615 18.6  0.00000000  -350.00000       -1
176  4.282051282 19.8 -0.73333333  -368.42105       -1
177  2.692307692 17.6 -0.92857143  -437.50000       -1
178  0.410256410 11.2 -0.91428571  -218.51852        1
179 -2.480769231  6.4 -0.97368421  -218.51852       -1
180 -4.641025641  3.6 -0.86206897  -177.41935        1
181 -6.019230769  4.8 -0.44000000  -258.33333        1
182 -8.474358974  7.8 -0.57500000  -541.66667        1
183 -7.076923077 12.8 13.00000000  2533.33333        1
184 -6.076923077 17.6  0.92307692  -406.66667       -1
185 -7.307692308 21.4 -0.34285714   290.47619       -1
186 -7.192307692 23.6  0.00000000   433.33333        1
187 -6.288461538 24.4  0.16666667  -214.28571       -1
188 -2.698717949 25.8 16.50000000   258.82353        1
189 -0.987179487 24.8  5.00000000   440.00000       -1
190  1.711538462 27.4 37.00000000   177.77778        1
191  3.891025641 28.4  5.50000000   273.91304       -1
192  5.083333333 27.4  0.42857143   331.57895       -1
193  5.589743590 24.0  0.05882353   428.57143       -1
194  5.698717949 27.0  0.17857143   342.10526        1
195  6.455128205 25.2  0.16000000   516.66667       -1
196  6.096153846 26.6  0.43478261  1100.00000        1
197  5.455128205 26.8 -0.16000000 -1375.00000       -1
198  5.410256410 24.8 -0.61904762  -366.66667       -1
199  4.512820513 19.2 -0.80000000  -265.00000       -1
200  2.512820513 14.4 -0.85714286  -331.25000        0
201  1.500000000  8.6 -0.77777778  -233.33333       -1
202 -1.455128205  5.0 -0.92105263  -121.87500       -1
203 -3.371794872  4.0 -0.88461538  -260.00000        0
204 -4.641025641  4.6 -0.60000000   -80.00000        1
205 -5.403846154  6.2 -0.27777778  -223.07692        1
206 -6.852564103  8.8 -0.48484848 -1100.00000        1
207 -7.942307692 11.2 -0.48275862 -1100.00000       -1
208 -8.403846154 16.0 -0.18181818  -500.00000        1
209 -8.205128205 18.8  0.04761905  -428.57143       -1
210 -7.358974359 19.0  0.75000000  -136.84211       -1
211 -6.275641026 18.0  1.40000000  -288.88889       -1
212 -5.435897436 17.0  1.00000000  1300.00000       -1
213 -4.089743590 14.8  3.00000000   290.90909        1
214 -2.320512821 13.4  4.00000000   320.00000       -1
215 -1.115384615 14.0  4.66666667   261.53846        1
216  0.262820513 14.2  0.62500000   340.00000       -1
217  1.032051282 16.0  0.46153846   250.00000        1
218  1.326923077 17.0  0.23529412   284.61538        1
219  1.576923077 17.6  0.20000000   640.00000       -1
220  1.717948718 19.2 -0.07407407   437.50000        1
221  1.987179487 21.0  0.00000000   500.00000       -1
222  2.493589744 19.0 -0.35714286  -127.77778       -1
223  2.660256410 16.4 -0.33333333  -164.28571       -1
224  2.448717949 14.2 -0.30000000  -328.57143       -1
225  1.532051282 10.2 -0.68750000  -328.57143       -1
226  0.519230769  6.0 -0.93333333  -255.55556       -1
227 -0.608974359  4.8 -0.82352941  -146.15385        1
228 -1.262820513  4.6 -0.46153846  -287.50000        1
229 -2.147435897  5.8 -0.31578947  -675.00000        1
230 -2.961538462  7.6 -0.33333333  2800.00000        1
231 -2.884615385 12.2  0.33333333   640.00000        1
232 -3.282051282 16.2 -0.08000000  1500.00000       -1
233 -3.596153846 19.0 -0.04545455  1000.00000       -1
234 -2.455128205 20.2  1.11111111  -383.33333       -1
235 -1.333333333 21.6  1.62500000 -2500.00000        1
236 -0.346153846 21.4  2.28571429   192.85714        1
237  0.326923077 19.6  1.80000000   450.00000       -1
238  1.570512821 19.6 20.00000000   242.85714        1
239  2.788461538 19.6  5.33333333   242.85714       -1
240  3.589743590 19.0  1.57142857   200.00000       -1
241  3.967948718 18.0  0.38461538   213.33333        0
242  4.378205128 20.0  0.71428571   200.00000        1
243  4.006410256 19.8 -0.16666667   400.00000       -1
244  3.794871795 20.0 -0.13043478   450.00000        0
245  3.320512821 19.0 -0.38095238  -154.54545       -1
246  2.967948718 16.6 -0.68421053  -100.00000       -1
247  2.243589744 12.6 -0.80952381  -100.00000       -1
248  0.762820513  9.0 -0.91304348  -100.00000       -1
249  0.173076923  6.2 -0.57142857  -126.66667        1
250 -0.993589744  5.0 -0.66666667  -112.50000        1
251 -2.365384615  9.6  0.05555556 -1150.00000        1
252 -3.032051282 12.4 -0.11111111  -766.66667       -1
253 -3.820512821 15.4 -0.12500000   933.33333        1
254 -4.314102564 17.0 -0.25000000  -933.33333       -1
255 -4.589743590 18.0 -0.05000000  -520.00000        1
256 -3.942307692 17.8  0.38461538 -1300.00000       -1
257 -2.525641026 19.2  2.83333333  1033.33333        1
258 -1.108974359 19.2  4.25000000   387.50000       -1
259 -0.006410256 18.6  5.00000000   516.66667       -1
260  0.884615385 17.4  1.16666667   355.55556        1
261  1.634615385 15.8  0.42857143   400.00000       -1
262  1.410256410 13.0 -0.35714286   933.33333       -1
263  1.262820513 11.6 -0.26315789   457.14286        1
264  1.512820513 13.0  0.18750000   600.00000        1
265  1.442307692 14.8  0.04761905   933.33333        1
266  1.916666667 17.4  0.53333333   414.28571        1
267  2.108974359 19.4  0.00000000 -1200.00000       -1
268  1.692307692 18.0 -0.61111111  -300.00000       -1
269  1.038461538 16.4 -0.52173913  -300.00000        1
270 -0.032051282 12.8 -0.80952381  -171.42857       -1
271 -0.621794872  9.0 -0.66666667  -100.00000        0
272 -1.326923077  6.2 -0.61538462  -125.00000        1
273 -1.185897436  8.8  1.00000000   437.50000        1
274 -1.211538462  8.8  0.22222222 -1700.00000       -1
A set consisting of  19  rules:
1. IF macd is [-Inf,-4.38] and rsi is [-Inf,-1.75e+03] THEN  is 1;
		(supportSize=1; laplace=0.5)
2. IF macd is [-Inf,-4.38] and ma5 is (18.8,26.5] and rsi is (900,3.55e+03] THEN  is 1;
		(supportSize=1; laplace=0.5)
3. IF macd is [-Inf,-4.38] and rsi is (3.55e+03, Inf] THEN  is 1;
		(supportSize=2; laplace=0.6)
4. IF macd is (-4.38,0.167] and roc is (8.5,18] THEN  is 1;
		(supportSize=1; laplace=0.5)
5. IF ma5 is [-Inf,11.1] and rsi is [-Inf,-1.75e+03] THEN  is 1;
		(supportSize=1; laplace=0.5)
6. IF roc is (27.5, Inf] THEN  is 1;
		(supportSize=1; laplace=0.5)
7. IF macd is [-Inf,-4.38] and roc is (8.5,18] THEN  is 1;
		(supportSize=1; laplace=0.5)
8. IF ma5 is (18.8,26.5] and roc is (18,27.5] THEN  is 1;
		(supportSize=1; laplace=0.5)
9. IF macd is (4.72, Inf] and ma5 is (26.5, Inf] and rsi is (900,3.55e+03] THEN  is 1;
		(supportSize=1; laplace=0.5)
10. IF macd is (0.167,4.72] and ma5 is [-Inf,11.1] THEN  is -1;
		(supportSize=5; laplace=0.75)
... and 9 other rules.
Confusion Matrix and Statistics

          Reference
Prediction -1  0  1
        -1  3  0  1
        0   0  0  0
        1  25  3 23

Overall Statistics

               Accuracy : 0.4727
                 95% CI : (0.3365, 0.612)
    No Information Rate : 0.5091
    P-Value [Acc > NIR] : 0.7499

                  Kappa : 0.0557
 Mcnemar's Test P-Value : NA'
Statistics by Class:

                     Class: -1 Class: 0 Class: 1
Sensitivity            0.10714  0.00000  0.95833
Specificity            0.96296  1.00000  0.09677
Pos Pred Value         0.75000      NaN  0.45098
Neg Pred Value         0.50980  0.94545  0.75000
Prevalence             0.50909  0.05455  0.43636
Detection Rate         0.05455  0.00000  0.41818
Detection Prevalence   0.07273  0.00000  0.92727
Balanced Accuracy      0.53505  0.50000  0.52755
